ID	Gene1	Gene2	NumSupp	Chrom1	Breakpoint1	Chrom2	Breakpoint2	SupportingReads
GF079	ENSG00000260364	LINC00922	123	chr16	65363808	chr16	65571767	Normal19_8742_9,Normal19_8737_1,Normal19_8737_10,Normal19_8737_11,Normal19_8737_12,Normal19_8737_14,Normal19_8737_15,Normal19_8737_16,Normal19_8737_17,Normal19_8737_19,Normal19_8737_2,Normal19_8737_22,Normal19_8737_23,Normal19_8737_24,Normal19_8737_25,Normal19_8737_27,Normal19_8737_28,Normal19_8737_29,Normal19_8737_4,Normal19_8737_6,Normal19_8737_7,Normal19_8737_9,Normal19_8738_1,Normal19_8738_10,Normal19_8738_12,Normal19_8738_13,Normal19_8738_15,Normal19_8738_16,Normal19_8738_18,Normal19_8738_2,Normal19_8738_20,Normal19_8738_21,Normal19_8738_23,Normal19_8738_24,Normal19_8738_27,Normal19_8738_28,Normal19_8738_29,Normal19_8738_3,Normal19_8738_30,Normal19_8738_31,Normal19_8738_4,Normal19_8738_5,Normal19_8738_6,Normal19_8738_7,Normal19_8739_1,Normal19_8739_10,Normal19_8739_11,Normal19_8739_12,Normal19_8739_14,Normal19_8739_15,Normal19_8739_16,Normal19_8739_17,Normal19_8739_18,Normal19_8739_2,Normal19_8739_20,Normal19_8739_21,Normal19_8739_22,Normal19_8739_23,Normal19_8739_24,Normal19_8739_25,Normal19_8739_26,Normal19_8739_28,Normal19_8739_29,Normal19_8739_4,Normal19_8739_5,Normal19_8739_6,Normal19_8739_7,Normal19_8739_8,Normal19_8739_9,Normal19_8741_1,Normal19_8741_11,Normal19_8741_12,Normal19_8741_14,Normal19_8741_15,Normal19_8741_16,Normal19_8741_17,Normal19_8741_18,Normal19_8741_19,Normal19_8741_2,Normal19_8741_20,Normal19_8741_22,Normal19_8741_23,Normal19_8741_25,Normal19_8741_26,Normal19_8741_28,Normal19_8741_29,Normal19_8741_3,Normal19_8741_30,Normal19_8741_31,Normal19_8741_4,Normal19_8741_5,Normal19_8741_6,Normal19_8741_7,Normal19_8741_8,Normal19_8741_9,Normal19_8742_1,Normal19_8742_10,Normal19_8742_11,Normal19_8742_12,Normal19_8742_13,Normal19_8742_14,Normal19_8742_15,Normal19_8742_16,Normal19_8742_19,Normal19_8742_20,Normal19_8742_21,Normal19_8742_22,Normal19_8742_23,Normal19_8742_24,Normal19_8742_25,Normal19_8742_26,Normal19_8742_27,Normal19_8742_28,Normal19_8742_29,Normal19_8742_3,Normal19_8742_30,Normal19_8742_4,Normal19_8742_5,Normal19_8742_6,Normal19_8737_13,Normal19_8737_18,Normal19_8737_5,Normal19_8738_22
GF080	ENSG00000260971	ENSG00000284686	54	chr1	56249201	chr1	56483262	Normal1_7652_9,Normal1_7650_1,Normal1_7650_10,Normal1_7650_11,Normal1_7650_12,Normal1_7650_13,Normal1_7650_14,Normal1_7650_15,Normal1_7650_16,Normal1_7650_17,Normal1_7650_18,Normal1_7650_19,Normal1_7650_2,Normal1_7650_20,Normal1_7650_21,Normal1_7650_23,Normal1_7650_24,Normal1_7650_25,Normal1_7650_26,Normal1_7650_27,Normal1_7650_29,Normal1_7650_3,Normal1_7650_4,Normal1_7650_5,Normal1_7650_7,Normal1_7650_8,Normal1_7650_9,Normal1_7652_1,Normal1_7652_10,Normal1_7652_11,Normal1_7652_12,Normal1_7652_14,Normal1_7652_15,Normal1_7652_16,Normal1_7652_18,Normal1_7652_19,Normal1_7652_2,Normal1_7652_20,Normal1_7652_21,Normal1_7652_22,Normal1_7652_23,Normal1_7652_24,Normal1_7652_25,Normal1_7652_26,Normal1_7652_27,Normal1_7652_28,Normal1_7652_29,Normal1_7652_3,Normal1_7652_30,Normal1_7652_4,Normal1_7652_6,Normal1_7652_7,Normal1_7652_8,Normal1_7650_6
GF081	ENSG00000260971	ENSG00000284686	24	chr1	56249202	chr1	56478885	Normal1_7651_8,Normal1_7651_10,Normal1_7651_12,Normal1_7651_13,Normal1_7651_14,Normal1_7651_15,Normal1_7651_16,Normal1_7651_17,Normal1_7651_18,Normal1_7651_19,Normal1_7651_2,Normal1_7651_21,Normal1_7651_22,Normal1_7651_23,Normal1_7651_24,Normal1_7651_25,Normal1_7651_26,Normal1_7651_27,Normal1_7651_28,Normal1_7651_29,Normal1_7651_30,Normal1_7651_4,Normal1_7651_5,Normal1_7651_7
GF082	ENSG00000260971	ENSG00000284686	23	chr1	56253894	chr1	56483261	Normal1_7654_9,Normal1_7654_10,Normal1_7654_11,Normal1_7654_12,Normal1_7654_13,Normal1_7654_14,Normal1_7654_18,Normal1_7654_19,Normal1_7654_2,Normal1_7654_20,Normal1_7654_21,Normal1_7654_23,Normal1_7654_24,Normal1_7654_26,Normal1_7654_28,Normal1_7654_29,Normal1_7654_3,Normal1_7654_30,Normal1_7654_4,Normal1_7654_5,Normal1_7654_6,Normal1_7654_7,Normal1_7654_8
GF083	ENSG00000231252	NFIA	23	chr1	60865466	chr1	61088147	Normal1_7955_8,Normal1_7955_1,Normal1_7955_10,Normal1_7955_12,Normal1_7955_13,Normal1_7955_14,Normal1_7955_15,Normal1_7955_16,Normal1_7955_17,Normal1_7955_19,Normal1_7955_2,Normal1_7955_20,Normal1_7955_23,Normal1_7955_24,Normal1_7955_27,Normal1_7955_29,Normal1_7955_4,Normal1_7955_5,Normal1_7955_7
GF086	ENSG00000260706	DYNLRB2-AS1	47	chr16	80160322	chr16	80528640	Normal20_1034_9,Normal20_1033_1,Normal20_1033_10,Normal20_1033_11,Normal20_1033_13,Normal20_1033_15,Normal20_1033_16,Normal20_1033_17,Normal20_1033_19,Normal20_1033_20,Normal20_1033_21,Normal20_1033_22,Normal20_1033_23,Normal20_1033_24,Normal20_1033_25,Normal20_1033_26,Normal20_1033_27,Normal20_1033_28,Normal20_1033_3,Normal20_1033_30,Normal20_1033_5,Normal20_1033_6,Normal20_1033_7,Normal20_1033_8,Normal20_1033_9,Normal20_1034_1,Normal20_1034_10,Normal20_1034_11,Normal20_1034_12,Normal20_1034_14,Normal20_1034_15,Normal20_1034_17,Normal20_1034_19,Normal20_1034_21,Normal20_1034_23,Normal20_1034_24,Normal20_1034_25,Normal20_1034_26,Normal20_1034_27,Normal20_1034_3,Normal20_1034_4,Normal20_1034_5,Normal20_1034_8
GF087	ENSG00000260706	DYNLRB2-AS1	19	chr16	80159454	chr16	80491215	Normal20_1036_8,Normal20_1036_10,Normal20_1036_12,Normal20_1036_13,Normal20_1036_15,Normal20_1036_17,Normal20_1036_18,Normal20_1036_19,Normal20_1036_2,Normal20_1036_20,Normal20_1036_22,Normal20_1036_24,Normal20_1036_28,Normal20_1036_29,Normal20_1036_3,Normal20_1036_31,Normal20_1036_4,Normal20_1036_5,Normal20_1036_7
GF088	ABHD15-AS1	EFCAB5	25	chr17	29703061	chr17	29929937	Normal20_7469_4,Normal20_7462_1,Normal20_7462_11,Normal20_7462_25,Normal20_7462_26,Normal20_7462_3,Normal20_7462_32,Normal20_7463_15,Normal20_7468_11,Normal20_7468_12,Normal20_7468_14,Normal20_7468_17,Normal20_7468_19,Normal20_7468_20,Normal20_7468_22,Normal20_7468_23,Normal20_7468_24,Normal20_7468_27,Normal20_7468_28,Normal20_7468_6,Normal20_7469_10,Normal20_7469_16,Normal20_7469_17,Normal20_7469_24,Normal20_7469_3
GF089	ASIC2	ENSG00000263571	26	chr17	33112066	chr17	34155974	Normal20_7940_9,Normal20_7940_10,Normal20_7940_11,Normal20_7940_12,Normal20_7940_13,Normal20_7940_14,Normal20_7940_15,Normal20_7940_16,Normal20_7940_18,Normal20_7940_2,Normal20_7940_20,Normal20_7940_21,Normal20_7940_22,Normal20_7940_23,Normal20_7940_25,Normal20_7940_26,Normal20_7940_28,Normal20_7940_3,Normal20_7940_30,Normal20_7940_31,Normal20_7940_32,Normal20_7940_4,Normal20_7940_5,Normal20_7940_7,Normal20_7940_8,Normal20_7940_1
GF090	BCAS3	ENSG00000267131	193	chr17	61084566	chr17	61368323	Normal21_2931_7,Normal21_2916_1,Normal21_2916_10,Normal21_2916_11,Normal21_2916_12,Normal21_2916_13,Normal21_2916_14,Normal21_2916_15,Normal21_2916_16,Normal21_2916_17,Normal21_2916_18,Normal21_2916_2,Normal21_2916_20,Normal21_2916_22,Normal21_2916_23,Normal21_2916_24,Normal21_2916_25,Normal21_2916_27,Normal21_2916_28,Normal21_2916_29,Normal21_2916_32,Normal21_2916_7,Normal21_2916_8,Normal21_2916_9,Normal21_2917_1,Normal21_2917_10,Normal21_2917_11,Normal21_2917_12,Normal21_2917_14,Normal21_2917_15,Normal21_2917_17,Normal21_2917_2,Normal21_2917_20,Normal21_2917_21,Normal21_2917_23,Normal21_2917_24,Normal21_2917_25,Normal21_2917_26,Normal21_2917_27,Normal21_2917_28,Normal21_2917_29,Normal21_2917_3,Normal21_2917_30,Normal21_2917_31,Normal21_2917_4,Normal21_2917_5,Normal21_2917_6,Normal21_2917_7,Normal21_2917_8,Normal21_2924_1,Normal21_2924_10,Normal21_2924_11,Normal21_2924_12,Normal21_2924_14,Normal21_2924_15,Normal21_2924_18,Normal21_2924_19,Normal21_2924_2,Normal21_2924_20,Normal21_2924_21,Normal21_2924_22,Normal21_2924_24,Normal21_2924_25,Normal21_2924_26,Normal21_2924_28,Normal21_2924_29,Normal21_2924_3,Normal21_2924_31,Normal21_2924_32,Normal21_2924_4,Normal21_2924_5,Normal21_2924_7,Normal21_2924_9,Normal21_2927_1,Normal21_2927_10,Normal21_2927_11,Normal21_2927_12,Normal21_2927_14,Normal21_2927_15,Normal21_2927_17,Normal21_2927_19,Normal21_2927_2,Normal21_2927_20,Normal21_2927_21,Normal21_2927_22,Normal21_2927_26,Normal21_2927_27,Normal21_2927_28,Normal21_2927_29,Normal21_2927_3,Normal21_2927_30,Normal21_2927_4,Normal21_2927_5,Normal21_2927_6,Normal21_2927_7,Normal21_2927_8,Normal21_2928_1,Normal21_2928_11,Normal21_2928_12,Normal21_2928_13,Normal21_2928_15,Normal21_2928_16,Normal21_2928_17,Normal21_2928_18,Normal21_2928_19,Normal21_2928_20,Normal21_2928_21,Normal21_2928_22,Normal21_2928_23,Normal21_2928_24,Normal21_2928_25,Normal21_2928_27,Normal21_2928_28,Normal21_2928_29,Normal21_2928_3,Normal21_2928_30,Normal21_2928_31,Normal21_2928_32,Normal21_2928_5,Normal21_2928_7,Normal21_2928_8,Normal21_2928_9,Normal21_2930_1,Normal21_2930_10,Normal21_2930_11,Normal21_2930_13,Normal21_2930_14,Normal21_2930_15,Normal21_2930_16,Normal21_2930_17,Normal21_2930_18,Normal21_2930_19,Normal21_2930_2,Normal21_2930_23,Normal21_2930_24,Normal21_2930_25,Normal21_2930_26,Normal21_2930_27,Normal21_2930_28,Normal21_2930_29,Normal21_2930_3,Normal21_2930_30,Normal21_2930_4,Normal21_2930_5,Normal21_2930_6,Normal21_2930_7,Normal21_2930_8,Normal21_2930_9,Normal21_2931_1,Normal21_2931_10,Normal21_2931_11,Normal21_2931_12,Normal21_2931_13,Normal21_2931_14,Normal21_2931_15,Normal21_2931_16,Normal21_2931_17,Normal21_2931_19,Normal21_2931_2,Normal21_2931_20,Normal21_2931_21,Normal21_2931_22,Normal21_2931_23,Normal21_2931_24,Normal21_2931_25,Normal21_2931_26,Normal21_2931_27,Normal21_2931_28,Normal21_2931_29,Normal21_2931_3,Normal21_2931_30,Normal21_2931_31,Normal21_2931_32,Normal21_2931_4,Normal21_2931_5,Normal21_2931_6,Normal21_2927_23,Normal21_2928_14,Normal21_2927_13,Normal21_2927_18,Normal21_2927_16,Normal21_2928_6,Normal21_2928_26
GF092	ENSG00000266602	ENSG00000263745	20	chr18	1906647	chr18	2239792	Normal21_7356_9,Normal21_7356_11,Normal21_7356_13,Normal21_7356_14,Normal21_7356_18,Normal21_7356_19,Normal21_7356_2,Normal21_7356_20,Normal21_7356_22,Normal21_7356_23,Normal21_7356_27,Normal21_7356_28,Normal21_7356_29,Normal21_7356_3,Normal21_7356_30,Normal21_7356_4,Normal21_7356_5,Normal21_7356_6,Normal21_7356_7,Normal21_7356_8
GF093	ENSG00000266602	ENSG00000263745	3	chr18	2035141	chr18	2239794	Normal21_7357_20,Normal21_7357_1,Normal21_7357_18
GF094	ENSG00000285550	LINC01478	106	chr18	44326484	chr18	44531455	Normal21_9648_18,Normal21_9624_1,Normal21_9624_13,Normal21_9624_16,Normal21_9624_17,Normal21_9624_2,Normal21_9624_21,Normal21_9624_5,Normal21_9624_9,Normal21_9626_24,Normal21_9629_18,Normal21_9631_25,Normal21_9632_5,Normal21_9634_22,Normal21_9635_1,Normal21_9635_11,Normal21_9635_12,Normal21_9635_13,Normal21_9635_14,Normal21_9635_15,Normal21_9635_16,Normal21_9635_18,Normal21_9635_19,Normal21_9635_20,Normal21_9635_23,Normal21_9635_24,Normal21_9635_25,Normal21_9635_26,Normal21_9635_27,Normal21_9635_28,Normal21_9635_29,Normal21_9635_3,Normal21_9635_30,Normal21_9635_4,Normal21_9635_5,Normal21_9635_6,Normal21_9635_7,Normal21_9635_9,Normal21_9636_1,Normal21_9636_10,Normal21_9636_12,Normal21_9636_13,Normal21_9636_14,Normal21_9636_15,Normal21_9636_16,Normal21_9636_17,Normal21_9636_19,Normal21_9636_20,Normal21_9636_21,Normal21_9636_22,Normal21_9636_23,Normal21_9636_24,Normal21_9636_28,Normal21_9636_29,Normal21_9636_3,Normal21_9636_4,Normal21_9636_6,Normal21_9636_7,Normal21_9636_8,Normal21_9636_9,Normal21_9637_10,Normal21_9637_13,Normal21_9637_17,Normal21_9637_19,Normal21_9637_20,Normal21_9637_22,Normal21_9637_3,Normal21_9637_6,Normal21_9637_7,Normal21_9638_1,Normal21_9638_10,Normal21_9638_14,Normal21_9638_16,Normal21_9638_17,Normal21_9638_18,Normal21_9638_19,Normal21_9638_2,Normal21_9638_20,Normal21_9638_21,Normal21_9638_22,Normal21_9638_24,Normal21_9638_25,Normal21_9638_26,Normal21_9638_28,Normal21_9638_29,Normal21_9638_3,Normal21_9638_30,Normal21_9638_31,Normal21_9638_32,Normal21_9638_4,Normal21_9638_6,Normal21_9638_8,Normal21_9638_9,Normal21_9639_26,Normal21_9640_27,Normal21_9645_16,Normal21_9645_17,Normal21_9645_18,Normal21_9645_19,Normal21_9645_20,Normal21_9645_23,Normal21_9645_8,Normal21_9645_9,Normal21_9646_8,Normal21_9635_2,Normal21_9638_23
GF095	ENSG00000285550	LINC01478	28	chr18	44326482	chr18	44549477	Normal21_9651_9,Normal21_9649_29,Normal21_9649_7,Normal21_9651_1,Normal21_9651_10,Normal21_9651_11,Normal21_9651_12,Normal21_9651_13,Normal21_9651_14,Normal21_9651_15,Normal21_9651_17,Normal21_9651_19,Normal21_9651_2,Normal21_9651_20,Normal21_9651_21,Normal21_9651_22,Normal21_9651_23,Normal21_9651_24,Normal21_9651_26,Normal21_9651_28,Normal21_9651_29,Normal21_9651_3,Normal21_9651_30,Normal21_9651_4,Normal21_9651_5,Normal21_9651_6,Normal21_9651_7,Normal21_9651_8
GF097	TXNL1	WDR7	26	chr18	56651575	chr18	57027000	Normal22_577_9,Normal22_577_1,Normal22_577_10,Normal22_577_11,Normal22_577_12,Normal22_577_13,Normal22_577_14,Normal22_577_16,Normal22_577_17,Normal22_577_18,Normal22_577_19,Normal22_577_2,Normal22_577_20,Normal22_577_22,Normal22_577_23,Normal22_577_24,Normal22_577_25,Normal22_577_26,Normal22_577_27,Normal22_577_28,Normal22_577_29,Normal22_577_3,Normal22_577_5,Normal22_577_6,Normal22_577_7,Normal22_577_8
GF098	JAG1	ENSG00000270792	21	chr20	10673026	chr20	10908823	Normal23_7027_9,Normal23_7027_1,Normal23_7027_10,Normal23_7027_12,Normal23_7027_13,Normal23_7027_14,Normal23_7027_15,Normal23_7027_16,Normal23_7027_17,Normal23_7027_18,Normal23_7027_2,Normal23_7027_21,Normal23_7027_23,Normal23_7027_24,Normal23_7027_27,Normal23_7027_3,Normal23_7027_31,Normal23_7027_4,Normal23_7027_5,Normal23_7027_6,Normal23_7027_8
GF0100	DONSON	ENSG00000249209	25	chr21	33586180	chr21	33907340	Normal24_3624_9,Normal24_3624_11,Normal24_3624_13,Normal24_3624_14,Normal24_3624_16,Normal24_3624_17,Normal24_3624_18,Normal24_3624_19,Normal24_3624_2,Normal24_3624_20,Normal24_3624_21,Normal24_3624_22,Normal24_3624_23,Normal24_3624_24,Normal24_3624_25,Normal24_3624_26,Normal24_3624_28,Normal24_3624_29,Normal24_3624_3,Normal24_3624_4,Normal24_3624_5,Normal24_3624_6,Normal24_3624_7,Normal24_3624_8,Normal24_3624_10
GF0101	PHEX	ENSG00000289084	36	chrX	22389720	chrX	22944052	Normal25_1586_8,Normal25_1586_1,Normal25_1586_11,Normal25_1586_13,Normal25_1586_14,Normal25_1586_15,Normal25_1586_16,Normal25_1586_17,Normal25_1586_2,Normal25_1586_20,Normal25_1586_21,Normal25_1586_23,Normal25_1586_25,Normal25_1586_28,Normal25_1586_29,Normal25_1586_3,Normal25_1586_5,Normal25_1586_6
GF0103	PHEX	ENSG00000289084	3	chrX	22389719	chrX	23064037	Normal25_1585_6,Normal25_1585_1,Normal25_1585_24
GF0104	ENSG00000287700	ENSG00000233928	30	chrX	33726634	chrX	33942004	Normal25_1905_7,Normal25_1900_19,Normal25_1901_1,Normal25_1901_10,Normal25_1901_11,Normal25_1901_12,Normal25_1901_14,Normal25_1901_15,Normal25_1901_16,Normal25_1901_17,Normal25_1901_19,Normal25_1901_2,Normal25_1901_20,Normal25_1901_21,Normal25_1901_23,Normal25_1901_24,Normal25_1901_26,Normal25_1901_27,Normal25_1901_28,Normal25_1901_29,Normal25_1901_3,Normal25_1901_30,Normal25_1901_4,Normal25_1901_6,Normal25_1901_7,Normal25_1901_8,Normal25_1901_9,Normal25_1905_18,Normal25_1905_5,Normal25_1901_5
GF0105	ENSG00000287700	ENSG00000233928	5	chrX	33726634	chrX	34076463	Normal25_1908_6,Normal25_1899_6,Normal25_1899_9,Normal25_1903_2,Normal25_1907_1
GF0106	ENSG00000233928	ENSG00000233571	18	chrX	34212236	chrX	34415180	Normal25_1914_4,Normal25_1914_10,Normal25_1914_11,Normal25_1914_13,Normal25_1914_14,Normal25_1914_15,Normal25_1914_16,Normal25_1914_17,Normal25_1914_19,Normal25_1914_20,Normal25_1914_22,Normal25_1914_25,Normal25_1914_26,Normal25_1914_27,Normal25_1914_28,Normal25_1914_29,Normal25_1914_3,Normal25_1914_30
GF0107	PRRG1	TSPAN7	26	chrX	37425999	chrX	38666120	Normal25_1965_8,Normal25_1965_10,Normal25_1965_11,Normal25_1965_12,Normal25_1965_13,Normal25_1965_14,Normal25_1965_15,Normal25_1965_16,Normal25_1965_17,Normal25_1965_19,Normal25_1965_2,Normal25_1965_21,Normal25_1965_22,Normal25_1965_23,Normal25_1965_24,Normal25_1965_25,Normal25_1965_26,Normal25_1965_27,Normal25_1965_28,Normal25_1965_29,Normal25_1965_3,Normal25_1965_30,Normal25_1965_4,Normal25_1965_5,Normal25_1965_6,Normal25_1965_7
GF0108	FTX	ENSG00000273974	71	chrX	74069585	chrX	74280393	Normal25_4588_22,Normal25_4577_10,Normal25_4577_11,Normal25_4577_13,Normal25_4577_15,Normal25_4577_19,Normal25_4577_2,Normal25_4577_20,Normal25_4577_24,Normal25_4577_25,Normal25_4577_27,Normal25_4577_30,Normal25_4577_9,Normal25_4578_11,Normal25_4578_14,Normal25_4578_15,Normal25_4578_16,Normal25_4578_17,Normal25_4578_18,Normal25_4578_21,Normal25_4578_23,Normal25_4578_25,Normal25_4578_28,Normal25_4578_29,Normal25_4578_31,Normal25_4578_4,Normal25_4578_6,Normal25_4578_8,Normal25_4579_9,Normal25_4580_19,Normal25_4581_10,Normal25_4581_11,Normal25_4582_1,Normal25_4582_10,Normal25_4582_11,Normal25_4582_18,Normal25_4582_2,Normal25_4582_20,Normal25_4582_23,Normal25_4582_24,Normal25_4582_28,Normal25_4582_29,Normal25_4582_4,Normal25_4582_5,Normal25_4582_6,Normal25_4582_8,Normal25_4583_12,Normal25_4583_19,Normal25_4583_25,Normal25_4583_26,Normal25_4583_27,Normal25_4583_4,Normal25_4583_6,Normal25_4584_17,Normal25_4584_18,Normal25_4584_23,Normal25_4584_28,Normal25_4584_9,Normal25_4586_10,Normal25_4586_11,Normal25_4586_13,Normal25_4586_15,Normal25_4586_18,Normal25_4586_19,Normal25_4586_2,Normal25_4586_25,Normal25_4586_28,Normal25_4586_3,Normal25_4586_4,Normal25_4586_6,Normal25_4586_8
GF0109	FTX	ENSG00000273974	12	chrX	73964543	chrX	74280392	Normal25_4563_20,Normal25_4561_21,Normal25_4562_1,Normal25_4562_10,Normal25_4562_13,Normal25_4562_14,Normal25_4562_16,Normal25_4562_17,Normal25_4562_2,Normal25_4562_4,Normal25_4562_8,Normal25_4562_9
GF0110	FTX	ENSG00000273974	7	chrX	74031814	chrX	74280393	Normal25_4574_31,Normal25_4574_10,Normal25_4574_18,Normal25_4574_19,Normal25_4574_27,Normal25_4574_28,Normal25_4574_29
GF0111	FTX	ENSG00000273974	3	chrX	74005855	chrX	74280375	Normal25_4569_7,Normal25_4569_13,Normal25_4569_24
GF0112	PCDH11X	PCDH11Y	25	chrX	91879270	chrY	5501055	Normal25_5128_9,Normal25_5121_33,Normal25_5121_7,Normal25_5121_9,Normal25_5123_14,Normal25_5123_39,Normal25_5123_42,Normal25_5123_6,Normal25_5124_23,Normal25_5125_23,Normal25_5125_3,Normal25_5127_1,Normal25_5127_12,Normal25_5127_21,Normal25_5127_28,Normal25_5127_3,Normal25_5128_1,Normal25_5128_10,Normal25_5128_12,Normal25_5128_13,Normal25_5128_21,Normal25_5128_26,Normal25_5128_27,Normal25_5128_3,Normal25_5128_33
GF0113	PCDH11X	PCDH11Y	24	chrX	92618263	chrY	5501253	Normal25_5128_9,Normal25_5121_33,Normal25_5121_7,Normal25_5121_9,Normal25_5123_14,Normal25_5123_39,Normal25_5123_42,Normal25_5123_6,Normal25_5124_23,Normal25_5125_23,Normal25_5125_3,Normal25_5127_1,Normal25_5127_12,Normal25_5127_21,Normal25_5127_28,Normal25_5127_3,Normal25_5128_1,Normal25_5128_10,Normal25_5128_13,Normal25_5128_21,Normal25_5128_26,Normal25_5128_27,Normal25_5128_3,Normal25_5128_33
GF0114	ZIC3	ENSG00000283692	3	chrX	137574119	chrX	137790245	Normal25_7114_30,Normal25_7114_20,Normal25_7114_22
GF0115	XG	XGY2	21	chrX	2774740	chrY	2789746	Normal25_8584_6,Normal25_8584_1,Normal25_8584_14,Normal25_8584_17,Normal25_8584_18,Normal25_8584_20,Normal25_8584_21,Normal25_8584_23,Normal25_8584_26,Normal25_8584_28,Normal25_8584_5
GF0117	XG	XGY2	4	chrX	2770573	chrY	2789746	Normal25_8584_27,Normal25_8584_13,Normal25_8584_16,Normal25_8584_24
GF0118	ENSG00000287921	SLC35F3	27	chr1	233905758	chr1	234231416	Normal3_1048_9,Normal3_1048_1,Normal3_1048_11,Normal3_1048_12,Normal3_1048_14,Normal3_1048_15,Normal3_1048_17,Normal3_1048_18,Normal3_1048_19,Normal3_1048_2,Normal3_1048_20,Normal3_1048_21,Normal3_1048_22,Normal3_1048_23,Normal3_1048_24,Normal3_1048_25,Normal3_1048_26,Normal3_1048_27,Normal3_1048_28,Normal3_1048_3,Normal3_1048_30,Normal3_1048_31,Normal3_1048_32,Normal3_1048_5,Normal3_1048_6,Normal3_1048_7,Normal3_1048_8
GF0119	LINC00298	LINC00299	56	chr2	8060404	chr2	8287337	Normal3_2884_8,Normal3_2883_1,Normal3_2883_10,Normal3_2883_11,Normal3_2883_12,Normal3_2883_13,Normal3_2883_14,Normal3_2883_15,Normal3_2883_16,Normal3_2883_17,Normal3_2883_18,Normal3_2883_19,Normal3_2883_20,Normal3_2883_22,Normal3_2883_23,Normal3_2883_24,Normal3_2883_25,Normal3_2883_28,Normal3_2883_29,Normal3_2883_30,Normal3_2883_4,Normal3_2883_5,Normal3_2883_6,Normal3_2883_8,Normal3_2883_9,Normal3_2884_1,Normal3_2884_10,Normal3_2884_11,Normal3_2884_13,Normal3_2884_14,Normal3_2884_15,Normal3_2884_17,Normal3_2884_18,Normal3_2884_19,Normal3_2884_2,Normal3_2884_20,Normal3_2884_21,Normal3_2884_23,Normal3_2884_25,Normal3_2884_26,Normal3_2884_29,Normal3_2884_3,Normal3_2884_5,Normal3_2884_6,Normal3_2884_7
GF0125	NRXN1	ENSG00000231918	33	chr2	51052453	chr2	52304342	Normal3_6091_4,Normal3_6091_1,Normal3_6091_11,Normal3_6091_16,Normal3_6091_23,Normal3_6091_26,Normal3_6091_28,Normal3_6091_3,Normal3_6091_30,Normal3_6091_31
GF0129	ENSG00000285673	ENSG00000271955	23	chr2	59241103	chr2	59594803	Normal3_6670_9,Normal3_6670_1,Normal3_6670_10,Normal3_6670_11,Normal3_6670_12,Normal3_6670_13,Normal3_6670_14,Normal3_6670_15,Normal3_6670_16,Normal3_6670_18,Normal3_6670_19,Normal3_6670_2,Normal3_6670_20,Normal3_6670_21,Normal3_6670_22,Normal3_6670_24,Normal3_6670_25,Normal3_6670_28,Normal3_6670_29,Normal3_6670_5,Normal3_6670_6,Normal3_6670_7,Normal3_6670_8
GF0130	ENSG00000286480	WDPCP	6	chr2	63174830	chr2	63378386	Normal3_7029_28,Normal3_7028_19,Normal3_7029_1,Normal3_7029_16,Normal3_7029_2,Normal3_7029_23
GF0131	ACOXL	MIR4435-2HG	21	chr2	111036922	chr2	111344060	Normal4_1232_9,Normal4_1232_10,Normal4_1232_11,Normal4_1232_12,Normal4_1232_13,Normal4_1232_14,Normal4_1232_15,Normal4_1232_19,Normal4_1232_20,Normal4_1232_21,Normal4_1232_22,Normal4_1232_25,Normal4_1232_26,Normal4_1232_27,Normal4_1232_29,Normal4_1232_3,Normal4_1232_4,Normal4_1232_5,Normal4_1232_6,Normal4_1232_7,Normal4_1232_8
GF0132	PLEKHB2	ENSG00000284604	26	chr2	131132991	chr2	131353017	Normal4_2523_7,Normal4_2523_1,Normal4_2523_10,Normal4_2523_11,Normal4_2523_12,Normal4_2523_13,Normal4_2523_14,Normal4_2523_15,Normal4_2523_16,Normal4_2523_17,Normal4_2523_18,Normal4_2523_2,Normal4_2523_20,Normal4_2523_21,Normal4_2523_23,Normal4_2523_24,Normal4_2523_25,Normal4_2523_26,Normal4_2523_27,Normal4_2523_28,Normal4_2523_29,Normal4_2523_3,Normal4_2523_30,Normal4_2523_4,Normal4_2523_5,Normal4_2523_6
GF0133	ARHGAP15	ENSG00000228655	4	chr2	143228665	chr2	143435598	Normal4_2949_27,Normal4_2948_12,Normal4_2948_23,Normal4_2948_26
GF0134	MMADHC	MMADHC-DT	15	chr2	149587861	chr2	149827040	Normal4_3441_6,Normal4_3440_17,Normal4_3441_11,Normal4_3441_21,Normal4_3441_24,Normal4_3441_25,Normal4_3441_30,Normal4_3441_4,Normal4_3441_5,Normal4_3440_11,Normal4_3440_20,Normal4_3440_21,Normal4_3440_22,Normal4_3440_24,Normal4_3440_6
GF0135	MMADHC	MMADHC-DT	13	chr2	149587867	chr2	149847909	Normal4_3442_25,Normal4_3438_26,Normal4_3439_12,Normal4_3439_18,Normal4_3439_21,Normal4_3439_25,Normal4_3439_26,Normal4_3439_30,Normal4_3439_6,Normal4_3440_14,Normal4_3442_10,Normal4_3442_20,Normal4_3440_27
