#FusionName	num_LR	LeftGene	LeftLocalBreakpoint	LeftBreakpoint	RightGene	RightLocalBreakpoint	RightBreakpoint	SpliceType	LR_accessions	LR_FFPM	annots	max_LR_FFPM	frac_dom_iso	above_frac_dom_iso
FCRL5--TCHP	2	FCRL5	10907	chr1:157534614:-	TCHP	35172	chr12:109907526:+	ONLY_REF_SPLICE	m64139_220127_180020/105840743/ccs,m64139_220127_180020/58657324/ccs	0.451	["INTERCHROMOSOMAL[chr1--chr12]"]	0.451	1.0	True
FBXO9--MIPEP	2	FBXO9	16404	chr6:53092824:+	MIPEP	42119	chr13:23836349:-	ONLY_REF_SPLICE	m64139_220127_180020/65669892/ccs,m64139_220127_180020/47974958/ccs	0.451	["INTERCHROMOSOMAL[chr6--chr13]"]	0.451	1.0	True
FBXO16--LARP1B	2	FBXO16	14072	chr8:28359592:-	LARP1B	35171	chr4:128114570:+	ONLY_REF_SPLICE	m64139_220127_180020/150602513/ccs,m64139_220127_180020/113903607/ccs	0.451	["INTERCHROMOSOMAL[chr8--chr4]"]	0.451	1.0	True
FAM98B--PLCXD1	2	FAM98B	7785	chr15:38481459:+	PLCXD1	20744	chrY:284167:+	ONLY_REF_SPLICE	m64139_220127_180020/140182451/ccs,m64139_220127_180020/136775960/ccs	0.451	["INTERCHROMOSOMAL[chr15--chrY]"]	0.451	1.0	True
FAM91A1--CHKB	2	FAM91A1	7998	chr8:123780919:+	CHKB	31765	chr22:50580825:-	INCL_NON_REF_SPLICE	m64139_220127_180020/142278908/ccs,m64139_220127_180020/65604129/ccs	0.451	["INTERCHROMOSOMAL[chr8--chr22]"]	0.451	1.0	True
FAAP20--NADK	2	FAAP20	13646	chr1:2191775:-	NADK	33364	chr1:1754867:-	INCL_NON_REF_SPLICE	m64139_220127_180020/97454176/ccs,m64139_220127_180020/50923072/ccs	0.451	[]	0.451	1.0	True
EWSR1--RPL22	2	EWSR1	21877	chr22:29300305:+	RPL22	33282	chr1:6186788:-	INCL_NON_REF_SPLICE	m64139_220127_180020/51906822/ccs,m64139_220127_180020/117508363/ccs	0.451	["INTERCHROMOSOMAL[chr22--chr1]"]	0.451	1.0	True
ERH--NOD2	2	ERH	4748	chr14:69380493:-	NOD2	20015	chr16:50716587:+	INCL_NON_REF_SPLICE	m64139_220127_180020/85002868/ccs,m64139_220127_180020/174064163/ccs	0.451	["INTERCHROMOSOMAL[chr14--chr16]"]	0.451	1.0	True
EPG5--ZNF800	2	EPG5	3392	chr18:45954100:-	ZNF800	69958	chr7:127386134:-	INCL_NON_REF_SPLICE	m64139_220127_180020/77466094/ccs,m64139_220127_180020/147983172/ccs	0.451	["INTERCHROMOSOMAL[chr18--chr7]"]	0.451	1.0	True
EPB41L2--EHMT1	2	EPB41L2	20724	chr6:130885096:-	EHMT1	80306	chr9:137790848:+	ONLY_REF_SPLICE	m64139_220127_180020/31065347/ccs,m64139_220127_180020/102107329/ccs	0.451	["INTERCHROMOSOMAL[chr6--chr9]"]	0.451	1.0	True
ENSG00000290921--MCOLN2	2	ENSG00000290921	15398	chr10:45854821:-	MCOLN2	34370	chr1:84926151:-	INCL_NON_REF_SPLICE	m64139_220127_180020/9765893/ccs,m64139_220127_180020/122488391/ccs	0.451	[]	0.451	1.0	True
HELB--KHDRBS1	2	HELB	16536	chr12:66338252:+	KHDRBS1	25107	chr1:32036433:+	INCL_NON_REF_SPLICE	m64139_220127_180020/69469665/ccs,m64139_220127_180020/60361145/ccs	0.451	["INTERCHROMOSOMAL[chr12--chr1]"]	0.451	1.0	True
ENSG00000291178--SMC2	2	ENSG00000291178	6845	chr7:100328836:-	SMC2	19672	chr9:104095324:+	ONLY_REF_SPLICE	m64139_220127_180020/17695211/ccs,m64139_220127_180020/111872628/ccs	0.451	[]	0.451	1.0	True
ENSG00000291203--PTDSS2	2	ENSG00000291203	6812	chr4:119462979:+	PTDSS2	33177	chr11:458861:+	ONLY_REF_SPLICE	m64139_220127_180020/70124102/ccs,m64139_220127_180020/59244984/ccs	0.451	[]	0.451	1.0	True
GALNT10--LTA	2	GALNT10	12691	chr5:154386430:+	LTA	32076	chr6:31572734:+	ONLY_REF_SPLICE	m64139_220127_180020/23659601/ccs,m64139_220127_180020/58131656/ccs	0.451	["INTERCHROMOSOMAL[chr5--chr6]"]	0.451	1.0	True
ERO1A--ZNF514	2	ERO1A	1533	chr14:52695368:-	ZNF514	27125	chr2:95157439:-	ONLY_REF_SPLICE	m64139_220127_180020/81266385/ccs,m64139_220127_180020/20316544/ccs	0.451	[]	0.451	1.0	True
GATD1--FNDC3A	2	GATD1	7406	chr11:770546:-	FNDC3A	18096	chr13:49110456:+	INCL_NON_REF_SPLICE	m64139_220127_180020/162334373/ccs,m64139_220127_180020/98960564/ccs	0.451	[]	0.451	1.0	True
GPBP1L1--NUP153	2	GPBP1L1	9796	chr1:45654332:-	NUP153	34178	chr6:17648238:-	INCL_NON_REF_SPLICE	m64139_220127_180020/126094080/ccs,m64139_220127_180020/136905220/ccs	0.451	["INTERCHROMOSOMAL[chr1--chr6]"]	0.451	1.0	True
HAUS1P1--RNPS1	2	HAUS1P1	1621	chr5:140582124:+	RNPS1	9355	chr16:2263875:-	INCL_NON_REF_SPLICE	m64139_220127_180020/39192752/ccs,m64139_220127_180020/168561416/ccs	0.451	["INTERCHROMOSOMAL[chr5--chr16]"]	0.451	1.0	True
GCA--ZMYM2	2	GCA	1556	chr2:162319395:+	ZMYM2	18360	chr13:19959958:+	ONLY_REF_SPLICE	m64139_220127_180020/149946706/ccs,m64139_220127_180020/85723386/ccs	0.451	["INTERCHROMOSOMAL[chr2--chr13]"]	0.451	1.0	True
GTF2I--THOC5	2	GTF2I	24146	chr7:74736683:+	THOC5	65363	chr22:29519665:-	INCL_NON_REF_SPLICE	m64139_220127_180020/8061804/ccs,m64139_220127_180020/46531453/ccs	0.451	["INTERCHROMOSOMAL[chr7--chr22]"]	0.451	1.0	True
GTF2F1--GLT8D1	2	GTF2F1	2129	chr19:6392853:-	GLT8D1	14542	chr3:52704400:-	INCL_NON_REF_SPLICE	m64139_220127_180020/68421230/ccs,m64139_220127_180020/98501023/ccs	0.451	["INTERCHROMOSOMAL[chr19--chr3]"]	0.451	1.0	True
H3-3B--BIRC3	2	H3-3B	5685	chr17:75778883:-	BIRC3	16982	chr11:102325072:+	INCL_NON_REF_SPLICE	m64139_220127_180020/13568109/ccs,m64139_220127_180020/86966507/ccs	0.451	[]	0.451	1.0	True
GPI--METTL14	2	GPI	6715	chr19:34368702:+	METTL14	34241	chr4:118703935:+	ONLY_REF_SPLICE	m64139_220127_180020/58262611/ccs,m64139_220127_180020/137757096/ccs	0.451	["INTERCHROMOSOMAL[chr19--chr4]"]	0.451	1.0	True
GPN2--SMNDC1	2	GPN2	2953	chr1:26886960:-	SMNDC1	17107	chr10:110298054:-	INCL_NON_REF_SPLICE	m64139_220127_180020/23593658/ccs,m64139_220127_180020/3934542/ccs	0.451	["INTERCHROMOSOMAL[chr1--chr10]"]	0.451	1.0	True
HBP1--SNW1	2	HBP1	12562	chr7:107196363:+	SNW1	26089	chr14:77735405:-	INCL_NON_REF_SPLICE	m64139_220127_180020/99485966/ccs,m64139_220127_180020/65208957/ccs	0.451	["INTERCHROMOSOMAL[chr7--chr14]"]	0.451	1.0	True
GOLGA8A--DDX56	2	GOLGA8A	9109	chr15:34399155:-	DDX56	29017	chr7:44571112:-	INCL_NON_REF_SPLICE	m64139_220127_180020/115738626/ccs,m64139_220127_180020/119014995/ccs	0.451	["INTERCHROMOSOMAL[chr15--chr7]"]	0.451	1.0	True
GNL3--MED6	2	GNL3	6435	chr3:52690704:+	MED6	17081	chr14:70592978:-	INCL_NON_REF_SPLICE	m64139_220127_180020/106957279/ccs,m64139_220127_180020/1771042/ccs	0.451	["INTERCHROMOSOMAL[chr3--chr14]"]	0.451	1.0	True
GLS2--MKNK1	2	GLS2	4327	chr12:56479052:-	MKNK1	29611	chr1:46572322:-	INCL_NON_REF_SPLICE	m64139_220127_180020/76350118/ccs,m64139_220127_180020/53545749/ccs	0.451	["INTERCHROMOSOMAL[chr12--chr1]"]	0.451	1.0	True
GINS2--TMTC4	2	GINS2	6226	chr16:85678155:-	TMTC4	13987	chr13:100668794:-	INCL_NON_REF_SPLICE	m64139_220127_180020/145293726/ccs,m64139_220127_180020/18743895/ccs	0.451	["INTERCHROMOSOMAL[chr16--chr13]"]	0.451	1.0	True
GLIPR1--LRBA	2	GLIPR1	1302	chr12:75481054:+	LRBA	18691	chr4:150929065:-	ONLY_REF_SPLICE	m64139_220127_180020/139594252/ccs,m64139_220127_180020/40240241/ccs	0.451	["INTERCHROMOSOMAL[chr12--chr4]"]	0.451	1.0	True
RALGPS2--HPCAL1	1	RALGPS2	8945	chr1:178833550:+	HPCAL1	38367	chr2:10396835:+	ONLY_REF_SPLICE	m64139_220127_180020/52167339/ccs	0.226	["INTERCHROMOSOMAL[chr1--chr2]"]	0.226	1.0	True
RAPGEF5--RPS27A	1	RAPGEF5	30931	chr7:22125604:-	RPS27A	40495	chr2:55232808:+	ONLY_REF_SPLICE	m64139_220127_180020/126419812/ccs	0.226	["INTERCHROMOSOMAL[chr7--chr2]"]	0.226	1.0	True
RACGAP1--LARP4	1	RACGAP1	19958	chr12:49991998:-	LARP4	43080	chr12:50454314:+	ONLY_REF_SPLICE	m64139_220127_180020/47055858/ccs	0.226	["INTRACHROMOSOMAL[chr12:0.36Mb]"]	0.226	1.0	True
RAN--SNX5	1	RAN	1593	chr12:130872629:+	SNX5	16319	chr20:17954117:-	ONLY_REF_SPLICE	m64139_220127_180020/107809101/ccs	0.226	["INTERCHROMOSOMAL[chr12--chr20]"]	0.226	1.0	True
RALGPS2--BOD1L1	1	RALGPS2	8945	chr1:178833550:+	BOD1L1	39779	chr4:13613661:-	ONLY_REF_SPLICE	m64139_220127_180020/128845380/ccs	0.226	["INTERCHROMOSOMAL[chr1--chr4]"]	0.226	1.0	True
RALGPS2--ENSG00000290921	1	RALGPS2	2395	chr1:178776821:+	ENSG00000290921	37151	chr10:45916171:-	ONLY_REF_SPLICE	m64139_220127_180020/156828146/ccs	0.226	[]	0.226	1.0	True
RAD17--ANKRA2	1	RAD17	8818	chr5:69384933:+	ANKRA2	28807	chr5:73554388:-	ONLY_REF_SPLICE	m64139_220127_180020/72548388/ccs	0.226	["INTRACHROMOSOMAL[chr5:4.14Mb]"]	0.226	1.0	True
RALGAPA2--XRN2	1	RALGAPA2	18234	chr20:20601682:-	XRN2	74817	chr20:21381994:+	ONLY_REF_SPLICE	m64139_220127_180020/32508703/ccs	0.226	["INTRACHROMOSOMAL[chr20:0.59Mb]"]	0.226	1.0	True
RAD54L2--PBRM1	1	RAD54L2	21458	chr3:51657669:+	PBRM1	58614	chr3:52587510:-	ONLY_REF_SPLICE	m64139_220127_180020/58657325/ccs	0.226	["INTRACHROMOSOMAL[chr3:0.88Mb]"]	0.226	1.0	True
RAD51B--EPB41L2	1	RAD51B	11638	chr14:67887204:+	EPB41L2	68592	chr6:130870126:-	ONLY_REF_SPLICE	m64139_220127_180020/57870050/ccs	0.226	["INTERCHROMOSOMAL[chr14--chr6]"]	0.226	1.0	True
RASA3--SPATS2	1	RASA3	2307	chr13:114073720:-	SPATS2	42551	chr12:49484590:+	ONLY_REF_SPLICE	m64139_220127_180020/163578306/ccs	0.226	["INTERCHROMOSOMAL[chr13--chr12]"]	0.226	1.0	True
RCBTB2--CKAP5	1	RCBTB2	7864	chr13:48511770:-	CKAP5	22862	chr11:46821248:-	ONLY_REF_SPLICE	m64139_220127_180020/80283210/ccs	0.226	["INTERCHROMOSOMAL[chr13--chr11]"]	0.226	1.0	True
RASSF3--ATF7	1	RASSF3	4770	chr12:64610743:+	ATF7	17396	chr12:53601021:-	ONLY_REF_SPLICE	m64139_220127_180020/6488425/ccs	0.226	["INTRACHROMOSOMAL[chr12:10.98Mb]"]	0.226	1.0	True
RBM25--SCAPER	1	RBM25	11898	chr14:73099750:+	SCAPER	58153	chr15:76665789:-	ONLY_REF_SPLICE	m64139_220127_180020/58263081/ccs	0.226	["INTERCHROMOSOMAL[chr14--chr15]"]	0.226	1.0	True
RBM45--DST	1	RBM45	8975	chr2:178126184:+	DST	62027	chr6:56614484:-	ONLY_REF_SPLICE	m64139_220127_180020/78186908/ccs	0.226	["INTERCHROMOSOMAL[chr2--chr6]"]	0.226	1.0	True
RBM45--ZNF680	1	RBM45	6876	chr2:178123651:+	ZNF680	24849	chr7:64522500:-	ONLY_REF_SPLICE	m64139_220127_180020/69339310/ccs	0.226	["INTERCHROMOSOMAL[chr2--chr7]"]	0.226	1.0	True
RBMXL1--NPIPB13	1	RBMXL1	1376	chr1:88992585:-	NPIPB13	21244	chr16:30235579:-	ONLY_REF_SPLICE	m64139_220127_180020/69403893/ccs	0.226	[]	0.226	1.0	True
RCOR3--ENSG00000284671	1	RCOR3	19284	chr1:211312487:+	ENSG00000284671	36620	chr16:29097132:+	ONLY_REF_SPLICE	m64139_220127_180020/2556622/ccs	0.226	[]	0.226	1.0	True
REV3L--ALDOA	1	REV3L	1966	chr6:111482750:-	ALDOA	52177	chr16:30067234:+	ONLY_REF_SPLICE	m64139_220127_180020/74711128/ccs	0.226	["INTERCHROMOSOMAL[chr6--chr16]"]	0.226	1.0	True
REV3L--ENSG00000285043	1	REV3L	1966	chr6:111482750:-	ENSG00000285043	55477	chr16:30067234:+	ONLY_REF_SPLICE	m64139_220127_180020/74711128/ccs	0.226	[]	0.226	1.0	True
REX1BD--DNAJC5	1	REX1BD	3249	chr19:18590933:+	DNAJC5	10731	chr20:63928335:+	ONLY_REF_SPLICE	m64139_220127_180020/178260614/ccs	0.226	[]	0.226	1.0	True
RFFL--TUBB	1	RFFL	1215	chr17:35089105:-	TUBB	26959	chr6:30722537:+	ONLY_REF_SPLICE	m64139_220127_180020/1836190/ccs	0.226	["INTERCHROMOSOMAL[chr17--chr6]"]	0.226	1.0	True
RABGAP1--UBE2D3	1	RABGAP1	16673	chr9:123020459:+	UBE2D3	38163	chr4:102827741:-	ONLY_REF_SPLICE	m64139_220127_180020/168034516/ccs	0.226	["INTERCHROMOSOMAL[chr9--chr4]"]	0.226	1.0	True
RHBDD1--TBC1D5	1	RHBDD1	11237	chr2:226914351:+	TBC1D5	42278	chr3:17508605:-	ONLY_REF_SPLICE	m64139_220127_180020/83035846/ccs	0.226	["INTERCHROMOSOMAL[chr2--chr3]"]	0.226	1.0	True
RFTN1--PNPT1	1	RFTN1	3399	chr3:16493725:-	PNPT1	34193	chr2:55671376:-	ONLY_REF_SPLICE	m64139_220127_180020/176818203/ccs	0.226	["INTERCHROMOSOMAL[chr3--chr2]"]	0.226	1.0	True
RGS1--SUCLG1	1	RGS1	2073	chr1:192576835:+	SUCLG1	16685	chr2:84433435:-	ONLY_REF_SPLICE	m64139_220127_180020/104532005/ccs	0.226	["INTERCHROMOSOMAL[chr1--chr2]"]	0.226	1.0	True
RABGAP1L--ERO1A	1	RABGAP1L	37479	chr1:174811960:+	ERO1A	73586	chr14:52646287:-	ONLY_REF_SPLICE	m64139_220127_180020/139855986/ccs	0.226	[]	0.226	1.0	True
PSPC1--CCDC91	1	PSPC1	7420	chr13:19730239:-	CCDC91	35678	chr12:28305649:+	ONLY_REF_SPLICE	m64139_220127_180020/116656443/ccs	0.226	["INTERCHROMOSOMAL[chr13--chr12]"]	0.226	1.0	True
RAB5A--LRBA	1	RAB5A	3023	chr3:19951061:+	LRBA	52675	chr4:150683717:-	ONLY_REF_SPLICE	m64139_220127_180020/113181042/ccs	0.226	["INTERCHROMOSOMAL[chr3--chr4]"]	0.226	1.0	True
RAB27A--ZCCHC9	1	RAB27A	2305	chr15:55314039:-	ZCCHC9	31804	chr5:81308561:+	ONLY_REF_SPLICE	m64139_220127_180020/144968092/ccs	0.226	["INTERCHROMOSOMAL[chr15--chr5]"]	0.226	1.0	True
PPP3CC--HEBP2	1	PPP3CC	14094	chr8:22533018:+	HEBP2	24071	chr6:138412880:+	ONLY_REF_SPLICE	m64139_220127_180020/51905824/ccs	0.226	["INTERCHROMOSOMAL[chr8--chr6]"]	0.226	1.0	True
PPP4C--CBL	1	PPP4C	1498	chr16:30076475:+	CBL	21260	chr11:119296918:+	ONLY_REF_SPLICE	m64139_220127_180020/163055002/ccs	0.226	["INTERCHROMOSOMAL[chr16--chr11]"]	0.226	1.0	True
RNF138--CCNI	1	RNF138	5349	chr18:32113860:+	CCNI	20280	chr4:77058635:-	ONLY_REF_SPLICE	m64139_220127_180020/124256402/ccs	0.226	["INTERCHROMOSOMAL[chr18--chr4]"]	0.226	1.0	True
PRANCR--CNOT2	1	PRANCR	1609	chr12:70242797:-	CNOT2	40180	chr12:70335438:+	ONLY_REF_SPLICE	m64139_220127_180020/69274441/ccs	0.226	[]	0.226	1.0	True
PRC1--ATM	1	PRC1	2223	chr15:90994407:-	ATM	24899	chr11:108227595:+	ONLY_REF_SPLICE	m64139_220127_180020/176948886/ccs	0.226	["INTERCHROMOSOMAL[chr15--chr11]"]	0.226	1.0	True
PRDX6-AS1--TNFSF4	1	PRDX6-AS1	7333	chr1:173441919:-	TNFSF4	18623	chr1:173188569:-	ONLY_REF_SPLICE	m64139_220127_180020/92145309/ccs	0.226	[]	0.226	1.0	True
PRKAB2--CHD1L	1	PRKAB2	3998	chr1:147166498:-	CHD1L	16850	chr1:147252623:+	ONLY_REF_SPLICE	m64139_220127_180020/16845505/ccs	0.226	["INTRACHROMOSOMAL[chr1:0.07Mb]","LOCAL_INVERSION:-:+:[70091]"]	0.226	1.0	True
PRKACB--CCDC91	1	PRKACB	2588	chr1:84144548:+	CCDC91	43126	chr12:28305649:+	ONLY_REF_SPLICE	m64139_220127_180020/53346733/ccs	0.226	["INTERCHROMOSOMAL[chr1--chr12]"]	0.226	1.0	True
PRMT2--TYSND1	1	PRMT2	7021	chr21:46649739:+	TYSND1	25810	chr10:70140141:-	ONLY_REF_SPLICE	m64139_220127_180020/25231606/ccs	0.226	["INTERCHROMOSOMAL[chr21--chr10]"]	0.226	1.0	True
PRPF3--PTPN9	1	PRPF3	3101	chr1:150325881:+	PTPN9	23708	chr15:75527261:-	ONLY_REF_SPLICE	m64139_220127_180020/120916829/ccs	0.226	["INTERCHROMOSOMAL[chr1--chr15]"]	0.226	1.0	True
PRPF4B--UBE2I	1	PRPF4B	19815	chr6:4063119:+	UBE2I	29203	chr16:1314020:+	ONLY_REF_SPLICE	m64139_220127_180020/132318700/ccs	0.226	["INTERCHROMOSOMAL[chr6--chr16]"]	0.226	1.0	True
PRRC2B--MBP	1	PRRC2B	2307	chr9:131394263:+	MBP	47407	chr18:77105286:-	ONLY_REF_SPLICE	m64139_220127_180020/74252614/ccs	0.226	["INTERCHROMOSOMAL[chr9--chr18]"]	0.226	1.0	True
PSMA3-AS1--PPP2R2A	1	PSMA3-AS1	10690	chr14:58273979:-	PPP2R2A	27163	chr8:26338890:+	ONLY_REF_SPLICE	m64139_220127_180020/6423827/ccs	0.226	["INTERCHROMOSOMAL[chr14--chr8]"]	0.226	1.0	True
PSMC3--CDK11A	1	PSMC3	3428	chr11:47424046:-	CDK11A	21303	chr1:1705732:-	ONLY_REF_SPLICE	m64139_220127_180020/56756952/ccs	0.226	["INTERCHROMOSOMAL[chr11--chr1]"]	0.226	1.0	True
PSMC6--PCGF3	1	PSMC6	4991	chr14:52711168:+	PCGF3	24146	chr4:734931:+	ONLY_REF_SPLICE	m64139_220127_180020/170133007/ccs	0.226	["INTERCHROMOSOMAL[chr14--chr4]"]	0.226	1.0	True
PTPA--NFATC1	1	PTPA	16381	chr9:129142552:+	NFATC1	29517	chr18:79448782:+	ONLY_REF_SPLICE	m64139_220127_180020/49744614/ccs	0.226	[]	0.226	1.0	True
PTPN1--EXOSC9	1	PTPN1	2361	chr20:50561453:+	EXOSC9	26733	chr4:121816369:+	ONLY_REF_SPLICE	m64139_220127_180020/35850606/ccs	0.226	["INTERCHROMOSOMAL[chr20--chr4]"]	0.226	1.0	True
PTPN1--FGFR1OP2	1	PTPN1	1270	chr20:50510590:+	FGFR1OP2	17790	chr12:26954145:+	ONLY_REF_SPLICE	m64139_220127_180020/82315983/ccs	0.226	["INTERCHROMOSOMAL[chr20--chr12]"]	0.226	1.0	True
PTPRVP--TRAF7	1	PTPRVP	16921	chr1:202187981:+	TRAF7	31223	chr16:2175301:+	ONLY_REF_SPLICE	m64139_220127_180020/36307953/ccs	0.226	["INTERCHROMOSOMAL[chr1--chr16]"]	0.226	1.0	True
PVT1--CYRIB	1	PVT1	16893	chr8:127890998:+	CYRIB	85131	chr8:129970995:-	ONLY_REF_SPLICE	m64139_220127_180020/722810/ccs	0.226	[]	0.226	1.0	True
PVT1--KLF8	1	PVT1	2546	chr8:127796071:+	KLF8	84958	chrX:56265180:+	ONLY_REF_SPLICE	m64139_220127_180020/99811945/ccs	0.226	["INTERCHROMOSOMAL[chr8--chrX]"]	0.226	1.0	True
PWWP3A--RNF6	1	PWWP3A	4600	chr19:1358464:+	RNF6	24640	chr13:26221330:-	ONLY_REF_SPLICE	m64139_220127_180020/119277897/ccs	0.226	[]	0.226	1.0	True
PXMP2--MMS22L	1	PXMP2	2320	chr12:132690376:+	MMS22L	22955	chr6:97263448:-	ONLY_REF_SPLICE	m64139_220127_180020/173080759/ccs	0.226	["INTERCHROMOSOMAL[chr12--chr6]"]	0.226	1.0	True
PYROXD2--MYBL2	1	PYROXD2	11135	chr10:98392432:-	MYBL2	28508	chr20:43702490:+	ONLY_REF_SPLICE	m64139_220127_180020/116393730/ccs	0.226	["INTERCHROMOSOMAL[chr10--chr20]"]	0.226	1.0	True
QRSL1--PHF10	1	QRSL1	1128	chr6:106629705:+	PHF10	20312	chr6:169721111:-	ONLY_REF_SPLICE	m64139_220127_180020/117573891/ccs	0.226	["INTRACHROMOSOMAL[chr6:63.04Mb]"]	0.226	1.0	True
R3HCC1L--FMNL2	1	R3HCC1L	3653	chr10:98163397:+	FMNL2	19925	chr2:152542739:+	ONLY_REF_SPLICE	m64139_220127_180020/34014501/ccs	0.226	["INTERCHROMOSOMAL[chr10--chr2]"]	0.226	1.0	True
RAB1A--ALMS1	1	RAB1A	3608	chr2:65097971:-	ALMS1	34034	chr2:73489634:+	ONLY_REF_SPLICE	m64139_220127_180020/100925825/ccs	0.226	["INTRACHROMOSOMAL[chr2:8.26Mb]"]	0.226	1.0	True
RIC1--SERBP1	1	RIC1	3617	chr9:5690038:+	SERBP1	37664	chr1:67424277:-	ONLY_REF_SPLICE	m64139_220127_180020/13108882/ccs	0.226	["INTERCHROMOSOMAL[chr9--chr1]"]	0.226	1.0	True
SEC23A--ITSN2	1	SEC23A	22464	chr14:39045163:-	ITSN2	57029	chr2:24261742:-	ONLY_REF_SPLICE	m64139_220127_180020/88605952/ccs	0.226	["INTERCHROMOSOMAL[chr14--chr2]"]	0.226	1.0	True
RNF149--CNOT11	1	RNF149	7711	chr2:101281859:-	CNOT11	18378	chr2:101257791:+	ONLY_REF_SPLICE	m64139_220127_180020/1705225/ccs	0.226	["INTRACHROMOSOMAL[chr2:0.00Mb]","LOCAL_INVERSION:-:+:[903]"]	0.226	1.0	True
RNF168--SLFN5	1	RNF168	4153	chr3:196487399:-	SLFN5	15421	chr17:35258651:+	ONLY_REF_SPLICE	m64139_220127_180020/103088746/ccs	0.226	["INTERCHROMOSOMAL[chr3--chr17]"]	0.226	1.0	True
SEC23A--EBF1	1	SEC23A	2972	chr14:39103032:-	EBF1	40584	chr5:158840110:-	ONLY_REF_SPLICE	m64139_220127_180020/17826935/ccs	0.226	["INTERCHROMOSOMAL[chr14--chr5]"]	0.226	1.0	True
SEC31A--ANKRD11	1	SEC31A	36334	chr4:82824555:-	ANKRD11	71590	chr16:89288670:-	ONLY_REF_SPLICE	m64139_220127_180020/83495549/ccs	0.226	["INTERCHROMOSOMAL[chr4--chr16]"]	0.226	1.0	True
SEC31B--BUD23	1	SEC31B	17506	chr10:100490706:-	BUD23	25775	chr7:73686636:+	ONLY_REF_SPLICE	m64139_220127_180020/155321848/ccs	0.226	[]	0.226	1.0	True
SECISBP2--RAD17	1	SECISBP2	2298	chr9:89319797:+	RAD17	33700	chr5:69381901:+	ONLY_REF_SPLICE	m64139_220127_180020/42533696/ccs	0.226	["INTERCHROMOSOMAL[chr9--chr5]"]	0.226	1.0	True
SEL1L--MBNL1	1	SEL1L	17248	chr14:81485672:-	MBNL1	30144	chr3:152244321:+	ONLY_REF_SPLICE	m64139_220127_180020/111280859/ccs	0.226	["INTERCHROMOSOMAL[chr14--chr3]"]	0.226	1.0	True
SENP6--ATRX	1	SENP6	21323	chr6:75678927:+	ATRX	59306	chrX:77652353:-	ONLY_REF_SPLICE	m64139_220127_180020/98961003/ccs	0.226	["INTERCHROMOSOMAL[chr6--chrX]"]	0.226	1.0	True
SEPTIN6--NDUFA1	1	SEPTIN6	7052	chrX:119640692:-	NDUFA1	22720	chrX:119876514:+	ONLY_REF_SPLICE	m64139_220127_180020/141888138/ccs	0.226	[]	0.226	1.0	True
SEPTIN7--SSB	1	SEPTIN7	16608	chr7:35879940:+	SSB	44425	chr2:169810858:+	ONLY_REF_SPLICE	m64139_220127_180020/21430484/ccs	0.226	[]	0.226	1.0	True
SEPTIN9--PIGX	1	SEPTIN9	18529	chr17:77402703:+	PIGX	50932	chr3:196716858:+	ONLY_REF_SPLICE	m64139_220127_180020/48169310/ccs	0.226	[]	0.226	1.0	True
SERINC3--SP100	1	SERINC3	3438	chr20:44513879:-	SP100	32236	chr2:230466301:+	ONLY_REF_SPLICE	m64139_220127_180020/159517285/ccs	0.226	["INTERCHROMOSOMAL[chr20--chr2]"]	0.226	1.0	True
SERPINB9--PDIA6	1	SERPINB9	2287	chr6:2900444:-	PDIA6	28838	chr2:10789889:-	ONLY_REF_SPLICE	m64139_220127_180020/112330668/ccs	0.226	["INTERCHROMOSOMAL[chr6--chr2]"]	0.226	1.0	True
SET--CEPT1	1	SET	1584	chr9:128684007:+	CEPT1	17093	chr1:111147642:+	ONLY_REF_SPLICE	m64139_220127_180020/174917537/ccs	0.226	["INTERCHROMOSOMAL[chr9--chr1]"]	0.226	1.0	True
SETD5--LYAR	1	SETD5	1363	chr3:9397977:+	LYAR	52459	chr4:4279749:-	ONLY_REF_SPLICE	m64139_220127_180020/56361229/ccs	0.226	["INTERCHROMOSOMAL[chr3--chr4]"]	0.226	1.0	True
SF1--DARS1	1	SF1	3289	chr11:64776498:-	DARS1	26031	chr2:135924498:-	ONLY_REF_SPLICE	m64139_220127_180020/133498155/ccs	0.226	[]	0.226	1.0	True
SF1--SUGP1	1	SF1	3289	chr11:64776498:-	SUGP1	27098	chr19:19280291:-	ONLY_REF_SPLICE	m64139_220127_180020/51119817/ccs	0.226	["INTERCHROMOSOMAL[chr11--chr19]"]	0.226	1.0	True
SF1--ZNF85	1	SF1	3289	chr11:64776498:-	ZNF85	25603	chr19:20948744:+	ONLY_REF_SPLICE	m64139_220127_180020/142412571/ccs	0.226	["INTERCHROMOSOMAL[chr11--chr19]"]	0.226	1.0	True
SF3B3--KATNB1	1	SF3B3	28252	chr16:70570149:+	KATNB1	43568	chr16:57750827:+	ONLY_REF_SPLICE	m64139_220127_180020/144966768/ccs	0.226	["INTRACHROMOSOMAL[chr16:12.77Mb]"]	0.226	1.0	True
SFXN2--MAN2B1	1	SFXN2	13542	chr10:102735909:+	MAN2B1	24590	chr19:12665525:-	ONLY_REF_SPLICE	m64139_220127_180020/80152704/ccs	0.226	["INTERCHROMOSOMAL[chr10--chr19]"]	0.226	1.0	True
